,name,year,selling_price,km_driven,fuel,transmission,owner
722,Volkswagen Polo Petrol Highline 1.2L,2011,254999,54206,Petrol,Manual,LabelEncoder()
723,Skoda Rapid 1.6 MPI Active,2012,269000,52547,Petrol,Manual,LabelEncoder()
724,Maruti Ertiga ZDI,2014,665000,59110,Diesel,Manual,LabelEncoder()
725,Maruti Wagon R Stingray LXI,2014,299000,54565,Petrol,Manual,LabelEncoder()
726,Hyundai i20 Asta,2010,265000,47564,Petrol,Manual,LabelEncoder()
727,Volkswagen Polo Petrol Highline 1.2L,2010,211000,45143,Petrol,Manual,LabelEncoder()
728,Skoda Superb 1.8 TSI,2013,599000,61624,Petrol,Automatic,LabelEncoder()
729,Tata Indigo LS,2007,55000,195000,Diesel,Manual,LabelEncoder()
730,Hyundai Verna 1.6 SX CRDi (O),2014,550000,50000,Diesel,Manual,LabelEncoder()
731,Land Rover Discovery Sport TD4 HSE 7S,2018,4000000,68000,Diesel,Automatic,LabelEncoder()
732,Tata Sumo GX TC 8 Str,2010,220000,120000,Diesel,Manual,LabelEncoder()
733,Maruti Swift VXI,2019,500000,20000,Petrol,Manual,LabelEncoder()
734,Maruti Alto LXi,2010,140000,30000,Petrol,Manual,LabelEncoder()
735,Maruti Swift VDI,2013,325000,60000,Diesel,Manual,LabelEncoder()
736,Hyundai i20 Magna,2010,210000,90000,Petrol,Manual,LabelEncoder()
737,Maruti Alto LXi,2008,110000,90000,Petrol,Manual,LabelEncoder()
738,Hyundai Verna CRDi 1.6 SX Option,2019,1200000,25000,Diesel,Manual,LabelEncoder()
739,Maruti Alto 800 VXI,2017,229999,40000,Petrol,Manual,LabelEncoder()
741,Maruti Alto 800 LXI,2006,165000,132000,Petrol,Manual,LabelEncoder()
742,Tata Tiago XZA AMT,2018,525000,10980,Petrol,Automatic,LabelEncoder()
743,Hyundai EON Era Plus,2018,325000,20629,Petrol,Manual,LabelEncoder()
744,Toyota Innova Crysta 2.4 VX MT BSIV,2018,1500000,50000,Diesel,Manual,LabelEncoder()
745,Hyundai Grand i10 AT Asta,2015,400000,30000,Petrol,Automatic,LabelEncoder()
746,Maruti Ciaz VXi,2015,550000,69782,Petrol,Manual,LabelEncoder()
747,Maruti 800 Std,2003,98000,54000,Petrol,Manual,LabelEncoder()
748,Mahindra XUV500 W8 4WD,2013,900000,63654,Diesel,Manual,LabelEncoder()
749,Renault Lodgy 85PS RxL,2017,700000,60000,Diesel,Manual,LabelEncoder()
750,Mahindra Scorpio S6 Plus 7 Seater,2015,890000,52000,Diesel,Manual,LabelEncoder()
751,Maruti Swift LDI BSIV,2015,490000,59385,Diesel,Manual,LabelEncoder()
752,Hyundai i20 2015-2017 Magna 1.2,2015,525000,70378,Petrol,Manual,LabelEncoder()
753,Maruti Wagon R LXI BS IV,2013,330000,55425,Petrol,Manual,LabelEncoder()
754,Mahindra Bolero 2011-2019 SLX 2WD BSIII,2013,550000,78413,Diesel,Manual,LabelEncoder()
755,Mahindra Bolero Power Plus SLX,2018,790000,40890,Diesel,Manual,LabelEncoder()
756,Honda Brio S MT,2015,350000,34823,Petrol,Manual,LabelEncoder()
757,Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1700000,75000,Diesel,Automatic,LabelEncoder()
758,Maruti Ciaz VDI SHVS,2017,750000,55545,Diesel,Manual,LabelEncoder()
759,Honda Amaze EX i-Dtech,2014,409999,56541,Diesel,Manual,LabelEncoder()
760,Hyundai EON Magna Plus,2016,220000,43700,Petrol,Manual,LabelEncoder()
761,Tata Indica GLS BS IV,2009,68000,120000,Petrol,Manual,LabelEncoder()
762,Hyundai EON Era Plus,2017,290000,20000,Petrol,Manual,LabelEncoder()
763,Honda City i DTec SV,2014,600000,27483,Diesel,Manual,LabelEncoder()
764,Maruti Swift LXI,2019,470000,8000,Petrol,Manual,LabelEncoder()
765,Hyundai i10 Sportz 1.2,2008,150000,30000,Petrol,Manual,LabelEncoder()
766,Maruti Alto 800 LXI,2014,180000,56207,Petrol,Manual,LabelEncoder()
767,Maruti Zen LXI,2006,80000,70000,Petrol,Manual,LabelEncoder()
768,Honda WR-V i-VTEC VX,2018,875000,1440,Petrol,Manual,LabelEncoder()
769,Maruti Alto 800 LXI,2019,300000,50000,Petrol,Manual,LabelEncoder()
770,Toyota Fortuner 2.8 2WD AT BSIV,2017,2800000,20000,Diesel,Automatic,LabelEncoder()
771,Toyota Innova Crysta 2.4 ZX MT,2017,1330000,91195,Diesel,Manual,LabelEncoder()
772,Volkswagen Polo 1.5 TDI Trendline,2011,220000,63657,Diesel,Manual,LabelEncoder()
773,Mahindra Verito Vibe 1.5 dCi D4,2013,250000,60000,Diesel,Manual,LabelEncoder()
774,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,919999,75000,Diesel,Manual,LabelEncoder()
775,Volkswagen Vento Magnific 1.6 Highline,2013,380000,97248,Petrol,Manual,LabelEncoder()
776,Maruti Swift VDI,2012,450000,46000,Diesel,Manual,LabelEncoder()
777,Hyundai Verna 1.6 VTVT AT S Option,2016,770000,10000,Petrol,Automatic,LabelEncoder()
778,Maruti Swift Dzire LDI,2018,550000,80000,Diesel,Manual,LabelEncoder()
779,Tata New Safari DICOR 2.2 GX 4x2,2011,320000,100000,Diesel,Manual,LabelEncoder()
780,Maruti SX4 Vxi BSIV,2013,400000,35000,Petrol,Manual,LabelEncoder()
781,Maruti Celerio VXI AT,2017,450000,50000,Petrol,Automatic,LabelEncoder()
782,Maruti SX4 ZDI,2011,220000,90000,Diesel,Manual,LabelEncoder()
783,Mahindra XUV500 W8 2WD,2012,400000,150000,Diesel,Manual,LabelEncoder()
784,Hyundai Verna 1.6 SX VTVT (O),2013,530000,89000,Petrol,Manual,LabelEncoder()
785,Maruti Swift Dzire VDI,2014,390000,60000,Diesel,Manual,LabelEncoder()
786,Fiat Grande Punto 1.3 Dynamic (Diesel),2012,185000,100000,Diesel,Manual,LabelEncoder()
787,Maruti SX4 Vxi BSIV,2012,300000,100000,Petrol,Manual,LabelEncoder()
788,Maruti Swift VDI BSIV,2014,575000,90000,Diesel,Manual,LabelEncoder()
789,Maruti Wagon R Stingray VXI,2014,300000,75000,Petrol,Manual,LabelEncoder()
790,Toyota Etios Liva 1.4 VD,2017,425000,36000,Diesel,Manual,LabelEncoder()
791,Hyundai Xcent 1.2 Kappa SX,2016,350000,12000,Petrol,Manual,LabelEncoder()
792,Honda Amaze VX O iDTEC,2017,550000,12997,Diesel,Manual,LabelEncoder()
793,Maruti Ciaz 1.4 AT Zeta,2017,500000,40000,Petrol,Automatic,LabelEncoder()
794,Mahindra Scorpio S4 4WD,2015,600000,60000,Diesel,Manual,LabelEncoder()
795,Mahindra Quanto C8,2013,300000,25000,Diesel,Manual,LabelEncoder()
796,Hyundai Verna CRDi 1.6 SX Option,2018,1150000,26430,Diesel,Manual,LabelEncoder()
797,Maruti Swift 1.3 VXI ABS,2015,475000,24600,Petrol,Manual,LabelEncoder()
798,Maruti Wagon R LXI,2011,260000,28481,Petrol,Manual,LabelEncoder()
799,Ford Ecosport 1.0 Ecoboost Titanium Optional,2013,350000,100000,Petrol,Manual,LabelEncoder()
800,Mahindra XUV500 W8 2WD,2013,750000,41988,Diesel,Manual,LabelEncoder()
801,Maruti Wagon R LXI,2009,180000,30375,Petrol,Manual,LabelEncoder()
802,Renault KWID Climber 1.0 AMT BSIV,2017,350000,7658,Petrol,Automatic,LabelEncoder()
803,Maruti Swift Dzire VDI,2017,611000,34400,Diesel,Manual,LabelEncoder()
804,Renault KWID RXL BSIV,2017,325000,18500,Petrol,Manual,LabelEncoder()
805,Hyundai EON 1.0 Era Plus,2012,225000,48000,Petrol,Manual,LabelEncoder()
806,Maruti Wagon R AMT VXI,2014,300000,28942,Petrol,Automatic,LabelEncoder()
807,Mahindra Bolero Power Plus SLX,2017,400000,50000,Diesel,Manual,LabelEncoder()
808,Mahindra XUV500 W8 2WD,2012,711000,53600,Diesel,Manual,LabelEncoder()
809,Toyota Innova 2.5 G (Diesel) 8 Seater,2015,851000,53652,Diesel,Manual,LabelEncoder()
810,Maruti Ertiga VXI,2014,500000,25000,Petrol,Manual,LabelEncoder()
811,Toyota Innova 2.5 G4 Diesel 8-seater,2007,250000,80000,Diesel,Manual,LabelEncoder()
812,Maruti Alto 800 VXI,2017,150000,50000,Petrol,Manual,LabelEncoder()
813,Mahindra Scorpio 1.99 S10,2016,610000,15000,Diesel,Manual,LabelEncoder()
814,Mahindra KUV 100 G80 K2,2018,450000,5000,Petrol,Manual,LabelEncoder()
815,Hyundai i20 1.4 Asta Option,2017,744000,106000,Diesel,Manual,LabelEncoder()
816,Chevrolet Spark 1.0,2008,120000,100000,Petrol,Manual,LabelEncoder()
817,Renault KWID RXL,2016,220000,60000,Petrol,Manual,LabelEncoder()
818,Maruti Ertiga ZDI,2012,480000,120000,Diesel,Manual,LabelEncoder()
819,Maruti Celerio ZXI Optional AMT BSIV,2017,370000,82000,Petrol,Automatic,LabelEncoder()
820,Fiat Palio D 1.9 EL PS,2003,55000,35000,Diesel,Manual,LabelEncoder()
821,Hyundai EON Magna Plus,2013,125000,205000,Petrol,Manual,LabelEncoder()
822,Hyundai Verna 1.6 CRDI,2011,260000,125000,Diesel,Manual,LabelEncoder()
823,Fiat Linea Classic 1.3 Multijet,2015,350000,130000,Diesel,Manual,LabelEncoder()
824,Maruti Alto 800 CNG LXI,2012,170000,97000,CNG,Manual,LabelEncoder()
825,Hyundai Grand i10 Sportz,2015,350000,90000,Petrol,Manual,LabelEncoder()
826,Maruti Swift Dzire VXi,2009,250000,60000,Petrol,Manual,LabelEncoder()
827,Tata Indigo CR4,2013,170000,60000,Diesel,Manual,LabelEncoder()
828,Mahindra Scorpio S11 BSIV,2018,1300000,35000,Diesel,Manual,LabelEncoder()
829,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,550000,25000,Petrol,Manual,LabelEncoder()
830,Honda Brio 1.2 S MT,2017,400000,15000,Petrol,Manual,LabelEncoder()
831,Tata Nano Lx,2011,120000,20000,Petrol,Manual,LabelEncoder()
833,Ford Figo Petrol Titanium,2010,275000,70000,Petrol,Manual,LabelEncoder()
834,Tata Zest Revotron 1.2T XE,2016,285000,90000,Petrol,Manual,LabelEncoder()
835,Hyundai Creta 1.4 CRDi Base,2016,900000,80000,Diesel,Manual,LabelEncoder()
836,Mercedes-Benz M-Class ML 350 CDI,2014,2500000,79500,Diesel,Automatic,LabelEncoder()
837,Hyundai Verna 1.6 SX CRDi (O),2013,620000,70000,Diesel,Manual,LabelEncoder()
838,Toyota Innova Crysta 2.4 GX MT 8S BSIV,2018,1700000,5000,Diesel,Manual,LabelEncoder()
839,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2018,650000,15000,Petrol,Manual,LabelEncoder()
840,Maruti Ertiga VXI,2014,500000,35000,Petrol,Manual,LabelEncoder()
841,Tata New Safari DICOR 2.2 EX 4x4,2009,250000,120000,Diesel,Manual,LabelEncoder()
842,Mahindra Marazzo M4,2018,950000,15000,Diesel,Manual,LabelEncoder()
843,Toyota Etios Cross 1.2L G,2015,320000,60000,Petrol,Manual,LabelEncoder()
844,Renault Duster 110PS Diesel RxZ,2013,450000,120000,Diesel,Manual,LabelEncoder()
845,Mahindra KUV 100 mFALCON D75 K8 AW,2016,350000,90000,Diesel,Manual,LabelEncoder()
846,Maruti Swift Dzire VXI,2015,400000,90000,Petrol,Manual,LabelEncoder()
848,Hyundai i20 Asta 1.4 CRDi (Diesel),2009,250000,72000,Diesel,Manual,LabelEncoder()
849,Toyota Innova 2.0 GX 8 STR BSIV,2011,550000,197000,Petrol,Manual,LabelEncoder()
850,Maruti Zen LXI,1999,85000,70000,Petrol,Manual,LabelEncoder()
851,Hyundai Santro LP zipPlus,2001,52000,50000,Petrol,Manual,LabelEncoder()
852,Tata Hexa XTA,2017,1200000,50000,Diesel,Automatic,LabelEncoder()
853,Hyundai Verna 1.6 SX VTVT AT,2011,450000,60000,Petrol,Automatic,LabelEncoder()
854,Maruti Swift Dzire VXI 1.2 BS IV,2018,615000,40000,Petrol,Manual,LabelEncoder()
855,Maruti SX4 ZDI Leather,2012,400000,60000,Diesel,Manual,LabelEncoder()
856,Tata Nano LX,2013,60000,40000,Petrol,Manual,LabelEncoder()
857,Maruti Ignis 1.2 Alpha BSIV,2017,500000,9161,Petrol,Manual,LabelEncoder()
858,Honda Mobilio V i VTEC,2015,600000,45000,Petrol,Manual,LabelEncoder()
859,Hyundai Getz 1.3 GVS,2010,110000,110000,Petrol,Manual,LabelEncoder()
860,Hyundai Santro Xing GL Plus,2013,175000,80000,Petrol,Manual,LabelEncoder()
861,Ford Fiesta Titanium 1.5 TDCi,2011,325000,100000,Diesel,Manual,LabelEncoder()
862,Maruti Swift Dzire LDI,2017,425000,90000,Diesel,Manual,LabelEncoder()
863,Hyundai Accent GLE CNG,2009,160000,70000,CNG,Manual,LabelEncoder()
864,Maruti Zen Estilo LXI BSIII,2007,100000,80000,Petrol,Manual,LabelEncoder()
865,Maruti Swift Dzire LDI,2014,390000,110000,Diesel,Manual,LabelEncoder()
866,Hyundai i20 1.2 Spotz,2017,400000,50000,Petrol,Manual,LabelEncoder()
867,Tata Tigor 1.2 Revotron XM,2018,509999,5000,Petrol,Manual,LabelEncoder()
868,Hyundai i10 Magna 1.1,2008,150000,90000,Petrol,Manual,LabelEncoder()
869,Hyundai Santro Xing GLS,2009,110000,120000,Petrol,Manual,LabelEncoder()
870,Nissan Sunny Diesel XV,2013,450000,80000,Diesel,Manual,LabelEncoder()
871,Hyundai i20 1.2 Spotz,2017,400000,38000,Petrol,Manual,LabelEncoder()
872,Hyundai Santro Xing GLS,2009,140000,120000,Petrol,Manual,LabelEncoder()
873,Tata Indigo CR4,2011,130000,90000,Diesel,Manual,LabelEncoder()
874,Maruti Alto 800 LXI,2017,160000,50000,Petrol,Manual,LabelEncoder()
875,Maruti Alto 800 LXI,2016,150000,60000,Petrol,Manual,LabelEncoder()
876,Mahindra XUV500 W8 2WD,2013,500000,100000,Diesel,Manual,LabelEncoder()
877,Tata Nano Std,2011,40000,19000,Petrol,Manual,LabelEncoder()
878,Chevrolet Tavera LT L1 7 Seats BSIII,2006,140000,200000,Diesel,Manual,LabelEncoder()
879,Mahindra Verito 1.5 D2 BSIV,2015,227000,70000,Diesel,Manual,LabelEncoder()
880,Maruti Swift VDI,2011,285000,50000,Diesel,Manual,LabelEncoder()
881,Maruti Alto LX,2012,155000,19077,Petrol,Manual,LabelEncoder()
882,Hyundai EON D Lite,2016,210000,30000,Petrol,Manual,LabelEncoder()
883,Maruti Alto LXi,2009,140000,80000,Petrol,Manual,LabelEncoder()
884,Toyota Innova 2.5 GX (Diesel) 7 Seater,2015,940000,128000,Diesel,Manual,LabelEncoder()
885,Nissan Terrano XV Premium 110 PS,2013,750000,80000,Diesel,Manual,LabelEncoder()
886,Maruti Baleno Alpha 1.3,2016,610000,100000,Diesel,Manual,LabelEncoder()
887,Nissan Sunny XV D Premium Leather,2015,450000,50000,Diesel,Manual,LabelEncoder()
888,Toyota Etios Liva GD,2012,409999,56000,Diesel,Manual,LabelEncoder()
889,Hyundai EON 1.0 Era Plus,2018,100000,21302,Petrol,Manual,LabelEncoder()
890,Renault KWID 1.0 RXT Optional,2018,300000,10500,Petrol,Manual,LabelEncoder()
891,Mahindra Bolero 2011-2019 SLX,2013,400000,107000,Diesel,Manual,LabelEncoder()
892,Hyundai i10 Sportz 1.2,2010,210000,60000,Petrol,Manual,LabelEncoder()
893,Hyundai Santro Xing XG eRLX Euro III,2006,90000,120000,Petrol,Manual,LabelEncoder()
894,Maruti Wagon R LXI BS IV,2010,222000,70000,Petrol,Manual,LabelEncoder()
895,Maruti Alto 800 LXI,2015,240000,50000,Petrol,Manual,LabelEncoder()
896,Toyota Etios Liva GD,2013,450000,70000,Diesel,Manual,LabelEncoder()
935,Volkswagen Jetta 2.0L TDI Highline AT,2012,735000,55300,Diesel,Automatic,LabelEncoder()
936,Tata Indica Vista Quadrajet 90 VX,2012,285000,74300,Diesel,Manual,LabelEncoder()
937,Honda City VX MT,2010,350000,48781,Petrol,Manual,LabelEncoder()
938,Volkswagen Jetta 1.9 Highline TDI,2010,290000,87620,Diesel,Automatic,LabelEncoder()
939,Volkswagen Vento 1.5 TDI Highline Plus AT,2017,890000,40219,Diesel,Automatic,LabelEncoder()
940,Honda Jazz VX,2011,385000,11473,Petrol,Manual,LabelEncoder()
941,Maruti Eeco 5 Seater AC BSIV,2017,425000,8352,Petrol,Manual,LabelEncoder()
942,Maruti Wagon R VXI AMT1.2BSIV,2017,525000,9745,Petrol,Automatic,LabelEncoder()
943,Hyundai Grand i10 Asta,2017,550000,9748,Petrol,Manual,LabelEncoder()
944,Volkswagen Polo 1.0 MPI Trendline,2012,271000,49000,Petrol,Manual,LabelEncoder()
945,Hyundai Creta 1.6 CRDi SX Option,2018,1490000,20694,Diesel,Manual,LabelEncoder()
946,Hyundai Grand i10 Asta Option,2015,490000,31080,Petrol,Manual,LabelEncoder()
947,Hyundai EON Era Plus,2014,260000,37605,Petrol,Manual,LabelEncoder()
948,Hyundai Xcent 1.1 CRDi SX Option,2014,455000,55850,Diesel,Manual,LabelEncoder()
949,Tata Nano Lx BSIV,2010,75000,58850,Petrol,Manual,LabelEncoder()
950,Toyota Etios Cross 1.2L G,2015,421000,23839,Petrol,Manual,LabelEncoder()
951,Maruti Swift DDiS LDI,2016,550000,54000,Diesel,Manual,LabelEncoder()
952,Hyundai i10 Sportz 1.2 AT,2013,330000,38000,Petrol,Automatic,LabelEncoder()
953,Volkswagen Vento 1.5 TDI Comfortline,2012,390000,45454,Diesel,Manual,LabelEncoder()
954,Skoda Rapid 1.5 TDI AT Ambition,2015,599000,46957,Diesel,Automatic,LabelEncoder()
955,Hyundai Getz GLE,2007,110000,60000,Petrol,Manual,LabelEncoder()
956,Renault KWID RXT Optional,2016,250000,25000,Petrol,Manual,LabelEncoder()
957,Mahindra Scorpio M2DI,2012,600000,110000,Diesel,Manual,LabelEncoder()
958,Ford Endeavour XLT TDCi 4X2,2008,280000,190000,Diesel,Manual,LabelEncoder()
959,Audi Q3 35 TDI Quattro Technology,2018,2700000,25000,Diesel,Automatic,LabelEncoder()
960,Mahindra Renault Logan 1.4 GLX Petrol,2008,80000,90000,Petrol,Manual,LabelEncoder()
961,Maruti Alto K10 VXI,2019,350000,5000,Petrol,Manual,LabelEncoder()
962,Maruti Swift VDI BSIV,2015,475000,60000,Diesel,Manual,LabelEncoder()
963,Audi A5 Sportback,2020,4700000,1500,Diesel,Automatic,LabelEncoder()
964,Maruti Swift Dzire VDI,2018,500000,50000,Diesel,Manual,LabelEncoder()
965,Chevrolet Sail Hatchback 1.3 TCDi LT ABS,2014,250000,120000,Diesel,Manual,LabelEncoder()
966,Hyundai Accent CRDi,2005,100000,120000,Diesel,Manual,LabelEncoder()
967,Maruti Alto K10 VXI Airbag,2019,350000,5000,Petrol,Manual,LabelEncoder()
968,BMW 7 Series Signature 730Ld,2014,4000000,47000,Diesel,Automatic,LabelEncoder()
969,Toyota Camry 2.5 Hybrid,2017,1900000,20000,Petrol,Automatic,LabelEncoder()
970,Hyundai Santro Xing XG,2005,95000,120000,Petrol,Manual,LabelEncoder()
971,Hyundai Grand i10 CRDi Sportz,2015,409999,58000,Diesel,Manual,LabelEncoder()
972,Mahindra XUV500 W5 BSIV,2018,1050000,35000,Diesel,Manual,LabelEncoder()
973,Maruti Alto K10 VXI,2017,320000,30000,Petrol,Manual,LabelEncoder()
974,Mahindra XUV300 W8 Option Diesel BSIV,2019,1000000,10000,Diesel,Manual,LabelEncoder()
975,Toyota Innova Crysta 2.4 VX MT BSIV,2017,1770000,25000,Diesel,Manual,LabelEncoder()
976,Mahindra Thar CRDe,2018,950000,20000,Diesel,Manual,LabelEncoder()
977,Maruti Swift Dzire ZDI,2018,750000,50000,Diesel,Manual,LabelEncoder()
978,Hyundai EON Magna Plus,2014,220000,42000,Petrol,Manual,LabelEncoder()
979,Tata Hexa XM,2017,1000000,50000,Diesel,Manual,LabelEncoder()
980,Honda Mobilio E i DTEC,2017,660000,116000,Diesel,Manual,LabelEncoder()
981,Maruti Ertiga ZDI,2015,716000,100000,Diesel,Manual,LabelEncoder()
982,Maruti Ciaz ZXi Plus,2015,675000,66000,Petrol,Manual,LabelEncoder()
983,Mahindra Scorpio LX,2010,385000,110000,Diesel,Manual,LabelEncoder()
984,Fiat Grande Punto EVO 1.3 Dynamic,2014,325000,70000,Diesel,Manual,LabelEncoder()
985,Hyundai Creta 1.6 CRDi SX Option,2015,950000,60000,Diesel,Manual,LabelEncoder()
986,Ford Endeavour Hurricane Limited Edition,2007,400000,110000,Diesel,Automatic,LabelEncoder()
987,Tata Indica Vista TDI LS,2014,250000,25000,Diesel,Manual,LabelEncoder()
988,Land Rover Discovery S 2.0 SD4,2018,4000000,68000,Petrol,Automatic,LabelEncoder()
989,Maruti Alto 800 LXI,2014,210000,20000,Petrol,Manual,LabelEncoder()
990,Hyundai i10 Era 1.1 iTech SE,2011,147000,110000,Petrol,Manual,LabelEncoder()
991,Maruti Vitara Brezza VDi Option,2018,725000,26350,Diesel,Manual,LabelEncoder()
992,Mahindra Scorpio SLE BSIV,2012,550000,90000,Diesel,Manual,LabelEncoder()
993,Hyundai i20 Sportz Option 1.2,2016,475000,25000,Petrol,Manual,LabelEncoder()
994,Hyundai Santro Xing GLS,2014,250000,50000,Petrol,Manual,LabelEncoder()
995,Tata Indica LSI,2006,70000,60000,Petrol,Manual,LabelEncoder()
996,Hyundai EON Era Plus,2012,160000,70000,Petrol,Manual,LabelEncoder()
997,Ford Endeavour 3.0L 4X4 AT,2011,1000000,90000,Diesel,Automatic,LabelEncoder()
998,Hyundai Santro LE zipPlus,2001,68000,70000,Petrol,Manual,LabelEncoder()
999,Hyundai Grand i10 1.2 Kappa Asta,2017,500000,26500,Petrol,Manual,LabelEncoder()
1002,Hyundai Creta 1.4 EX Diesel,2020,1050000,10000,Diesel,Manual,LabelEncoder()
1005,Hyundai Verna CRDi 1.6 SX,2017,900000,50000,Diesel,Manual,LabelEncoder()
1007,Maruti Alto LX,2007,100000,52000,Petrol,Manual,LabelEncoder()
1010,Hyundai i20 Asta 1.4 CRDi,2013,300000,90000,Diesel,Manual,LabelEncoder()
1011,Tata Indigo LX,2011,140000,60000,Diesel,Manual,LabelEncoder()
1017,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,550000,35000,Petrol,Manual,LabelEncoder()
1018,Mahindra XUV500 W8 4WD,2012,650000,71042,Diesel,Manual,LabelEncoder()
1019,Mitsubishi Pajero Sport 4X4,2012,1025000,167870,Diesel,Manual,LabelEncoder()
1020,Ford Fiesta 1.5 TDCi Titanium,2011,195000,133564,Diesel,Manual,LabelEncoder()
1022,BMW 3 Series 320d Sport,2013,1490000,40000,Diesel,Automatic,LabelEncoder()
1024,Honda City i-VTEC CVT ZX,2018,1140000,23038,Petrol,Automatic,LabelEncoder()
1025,Chevrolet Beat Diesel LS,2011,95000,70000,Diesel,Manual,LabelEncoder()
1026,BMW 3 Series GT Luxury Line,2017,3050000,30000,Diesel,Automatic,LabelEncoder()
1034,Maruti Baleno Delta 1.2,2017,585000,43608,Petrol,Manual,LabelEncoder()
1035,Maruti Baleno Alpha CVT,2018,825000,11212,Petrol,Automatic,LabelEncoder()
1036,Hyundai i20 1.4 Magna Executive,2013,280000,52000,Diesel,Manual,LabelEncoder()
1037,Maruti Baleno Zeta,2016,725000,49217,Petrol,Manual,LabelEncoder()
1038,Mahindra Verito 1.5 D4 BSIV,2015,300000,90000,Diesel,Manual,LabelEncoder()
1039,Hyundai Xcent 1.2 Kappa S,2015,375000,70000,Petrol,Manual,LabelEncoder()
1040,Honda City VTEC,2003,310000,90000,Petrol,Manual,LabelEncoder()
1041,Maruti Swift Dzire VDi,2011,375000,190000,Diesel,Manual,LabelEncoder()
1042,Ford Endeavour 3.2 Titanium AT 4X4,2016,1950000,106000,Diesel,Automatic,LabelEncoder()
1043,Tata Xenon XT EX 4X2,2012,400000,80000,Diesel,Manual,LabelEncoder()
1044,Nissan Terrano XL Plus 85 PS,2014,550000,80000,Diesel,Manual,LabelEncoder()
1045,Maruti Eeco 7 Seater Standard BSIV,2018,270000,20000,Petrol,Manual,LabelEncoder()
1046,Maruti Ertiga ZDI,2012,555000,110000,Diesel,Manual,LabelEncoder()
1047,Ford Ecosport 1.5 DV5 MT Ambiente,2013,500000,60000,Diesel,Manual,LabelEncoder()
1048,Skoda Laura Elegance 1.9 TDI  AT,2010,400000,130000,Diesel,Automatic,LabelEncoder()
1049,Hyundai EON 1.0 Era Plus,2017,280000,28838,Petrol,Manual,LabelEncoder()
1050,Tata Indica GLS BS IV,2008,80000,200000,Petrol,Manual,LabelEncoder()
1051,Tata Indica DLS,2006,55000,100000,Diesel,Manual,LabelEncoder()
1052,Maruti Alto 800 LXI Airbag,2014,250000,50000,Petrol,Manual,LabelEncoder()
1053,Mahindra Bolero SLX 2WD,2010,250000,190000,Diesel,Manual,LabelEncoder()
1054,Mahindra Jeep MM 540,2007,95000,100000,Diesel,Manual,LabelEncoder()
1055,Mahindra Scorpio 1.99 S10,2014,725000,135000,Diesel,Manual,LabelEncoder()
1056,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,320000,50000,Diesel,Manual,LabelEncoder()
1057,Skoda Octavia Elegance 2.0 TDI AT,2014,1200000,135000,Diesel,Automatic,LabelEncoder()
1058,Chevrolet Beat Diesel LS,2012,160000,50000,Diesel,Manual,LabelEncoder()
1059,Honda Jazz 1.5 VX i DTEC,2018,790000,19571,Diesel,Manual,LabelEncoder()
1060,Honda City i-VTEC ZX,2018,1200000,29600,Petrol,Manual,LabelEncoder()
1061,Maruti Swift LXI,2011,175000,70000,Petrol,Manual,LabelEncoder()
1062,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,950000,15000,Diesel,Automatic,LabelEncoder()
1063,Maruti Celerio LXI MT BSIV,2019,340000,50000,Petrol,Manual,LabelEncoder()
1064,Renault Captur 1.5 Diesel RXT,2017,825000,13500,Diesel,Manual,LabelEncoder()
1065,Audi A4 30 TFSI Technology,2018,3100000,22000,Petrol,Automatic,LabelEncoder()
1066,Honda Amaze VX Diesel BSIV,2018,780000,25000,Diesel,Manual,LabelEncoder()
1067,Toyota Corolla Altis 1.8 VL AT,2010,350000,80000,Petrol,Automatic,LabelEncoder()
1068,Honda Amaze VX Petrol BSIV,2018,690000,39000,Petrol,Manual,LabelEncoder()
1069,Maruti Alto 800 VXI,2016,245000,60000,Petrol,Manual,LabelEncoder()
1070,Honda Amaze VX Diesel BSIV,2018,790000,49000,Diesel,Manual,LabelEncoder()
1071,Honda Amaze VX i-VTEC,2018,680000,48600,Petrol,Manual,LabelEncoder()
1072,Hyundai Grand i10 Asta Option,2017,540000,20000,Petrol,Manual,LabelEncoder()
1073,Mahindra KUV 100 mFALCON G80 K2,2016,425000,25000,Petrol,Manual,LabelEncoder()
1074,Maruti Zen Estilo Sports,2008,140000,120000,Petrol,Manual,LabelEncoder()
1075,Maruti Ertiga ZDI Plus,2019,1100000,30000,Diesel,Manual,LabelEncoder()
1076,Renault Lodgy 85PS RxL,2015,715000,35000,Diesel,Manual,LabelEncoder()
1078,Audi Q3 2.0 TDI Quattro Premium Plus,2015,1750000,127643,Diesel,Automatic,LabelEncoder()
1079,Tata Zest Revotron 1.2T XMS,2018,400000,54000,Petrol,Manual,LabelEncoder()
1080,Audi A6 2.0 TDI  Design Edition,2014,1750000,102354,Diesel,Automatic,LabelEncoder()
1081,Audi Q5 2.0 TFSI Quattro Premium Plus,2014,1850000,62237,Petrol,Automatic,LabelEncoder()
